Date,EPS
2023-03-31,-0.18
2022-12-31,0.09
2022-09-30,-0.21
2022-06-30,0.70
2022-03-31,1.06
2021-12-31,1.29
2021-09-30,1.13
2021-06-30,0.76
2021-03-31,1.27
2020-12-31,1.75
2020-09-30,1.76
2020-06-30,1.12
2020-03-31,0.55
2019-12-31,0.63
2019-09-30,1.14
2019-06-30,0.98
2019-03-31,0.77
2018-12-31,0.98
2018-09-30,1.32
2018-06-30,0.97
2018-03-31,0.98
2017-12-31,0.90
2017-09-30,0.79
2017-06-30,1.07
2017-03-31,0.42
2016-12-31,1.62
2016-09-30,0.70
2016-06-30,0.73
2016-03-31,0.67
2015-12-31,0.85
2015-09-30,0.76
2015-06-30,0.72
2015-03-31,0.67
2014-12-31,0.71
2014-09-30,0.67
2014-06-30,-0.22
2014-03-31,0.58
2013-12-31,0.69
2013-09-30,0.68
2013-06-30,0.66
2013-03-31,0.63
2012-12-31,0.68
2012-09-30,0.56
2012-06-30,0.56
2012-03-31,0.40
2011-12-31,0.54
2011-09-30,0.42
2011-06-30,0.52
2011-03-31,0.44
2010-12-31,0.45
2010-09-30,0.49
2010-06-30,0.36
2010-03-31,0.40
2009-12-31,0.28
2009-09-30,0.45
2009-06-30,0.41
2009-03-31,0.51
